window_start,window_end,n_signals,accuracy,mean_p_up
21300,24300,1173,0.5473145780051151,0.559408475066085
21800,24800,1230,0.5520325203252032,0.5638873368259368
22300,25300,1262,0.5491283676703645,0.5684785960026664
22800,25800,1207,0.5534382767191384,0.5679037858359361
23300,26300,1304,0.5605828220858896,0.5748423082879716
23800,26800,1306,0.5704441041347627,0.5724305212954102
24300,27300,1327,0.5621703089675961,0.5751430958217486
24800,27800,1242,0.5644122383252818,0.5736094391672316
25300,28300,1258,0.5699523052464229,0.5747187719909869
25800,28800,1452,0.559228650137741,0.5777045297474901
26300,29300,1391,0.5600287562904386,0.5775955529799143
26800,29800,1461,0.5578370978781656,0.5769862989135837
27300,30300,1576,0.5463197969543148,0.575191672645547
27800,30800,1682,0.5451843043995244,0.5767700972299088
28300,31300,1587,0.5274102079395085,0.5732864324747577
28800,31800,1493,0.5251172136637642,0.5722264475816061
29300,32300,1475,0.5301694915254237,0.574538681264651
29800,32800,1648,0.5127427184466019,0.5826058071287512
30300,33300,1595,0.5310344827586206,0.5778694216360493
30800,33800,1570,0.521656050955414,0.5765703874788467
31300,34300,1515,0.5326732673267327,0.5755441457131515
31800,34800,1631,0.5266707541385653,0.5759517459106328
32300,35300,1771,0.5093167701863354,0.5750615806447659
32800,35800,1675,0.5140298507462686,0.5726014771746166
33300,36300,1796,0.5128062360801782,0.5758928773397858
33800,36800,1762,0.5102156640181612,0.5754035251568178
34300,37300,1838,0.515778019586507,0.5737434526068342
34800,37800,1696,0.53125,0.5735604540567916
35300,38300,1545,0.5398058252427185,0.5674482290798792
35800,38800,1523,0.5200262639527249,0.5657592172772964
36300,39300,1509,0.5215374420145792,0.5677319941258415
36800,39800,1480,0.5324324324324324,0.5664708027163068
37300,40300,1415,0.519434628975265,0.5692298488145161
37800,40800,1383,0.5090383224873464,0.5693262529735192
38300,41300,1329,0.4958615500376223,0.570731566309301
38800,41800,1097,0.5168641750227895,0.5635001597995636
39300,42300,944,0.5148305084745762,0.5577383495993533
39800,42800,1069,0.5191768007483629,0.5578213550979786
40300,43300,1110,0.5207207207207207,0.5579119604450088
40800,43800,1192,0.5184563758389261,0.5601522502483137
41300,44300,1195,0.5489539748953974,0.5587221493780863
41800,44800,1304,0.5529141104294478,0.5578624370730728
42300,45300,1358,0.5331369661266568,0.558955334072085
42800,45800,1440,0.5319444444444444,0.5595717087388039
43300,46300,1525,0.5337704918032787,0.5596611503694878
